Primary Identifier	gene_symbol	description	massspec_evidence	go_annotation_mitochondrial	gfp_evidence	organism_name	mtstargetp	mtsmitoprot	mtsmitofates	cellular_location	cellular_location_evidence	mito_sublocation	mito_sublocation_evidence
YNL055C	POR1	"Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; phosphorylated; protein abundance increases in response to DNA replication stress; POR1 has a paralog, POR2, that arose from the whole genome duplication"	12	TRUE	3	S. cerevisiae S288C	0.097	0.6508	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial intermembrane space;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YPR191W	QCR2	"Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme"	12	TRUE	3	S. cerevisiae S288C	0.9	0.9818	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YML054C	CYB2	"Cytochrome b2 (L-lactate cytochrome-c oxidoreductase); component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions"	12	TRUE	0	S. cerevisiae S288C	0.359	0.5976	0.996	"cytosol;mitochondrion"	"MassSpec;Gene Ontology"	"intermembrane space;mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial outer membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YIL136W	OM45	"Mitochondrial outer membrane protein of unknown function; major constituent of the outer membrane, located on the outer (cytosolic) face; protein abundance increases in response to DNA replication stress"	12	TRUE	2	S. cerevisiae S288C	0.357	0.2374	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial outer membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YKL150W	MCR1	"Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis"	12	TRUE	2	S. cerevisiae S288C	0.724	0.7813	0.798	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial outer membraneintermembrane space;mitochondrial intermembrane space;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YMR203W	TOM40	"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore; pre-Tom40p is phosphorylated by PKA, which impairs its import into mitochondria under non-respiratory conditions"	12	TRUE	1	S. cerevisiae S288C	0.188	0.0823	0	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial intermembrane space;mitochondrial outer membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YIL155C	GUT2	"Mitochondrial glycerol-3-phosphate dehydrogenase; expression is repressed by both glucose and cAMP and derepressed by non-fermentable carbon sources in a Snf1p, Rsf1p, Hap2/3/4/5 complex dependent manner"	11	TRUE	3	S. cerevisiae S288C	0.802	0.7417	0.325	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membranemitochondrial inner membraneintermembrane space;mitochondrial outer membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YJR121W	ATP2	"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated"	11	TRUE	3	S. cerevisiae S288C	0.906	0.9677	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YER004W	FMP52	"Protein of unknown function; localized to the mitochondrial outer membrane; induced by treatment with 8-methoxypsoralen and UVA irradiation"	11	TRUE	0	S. cerevisiae S288C	0.487	0.5608	0.012	mitochondrion	"MassSpec;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YIL125W	KGD1	"Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase complex; catalyzes a key step in the tricarboxylic acid (TCA) cycle, the oxidative decarboxylation of alpha-ketoglutarate to form succinyl-CoA"	11	TRUE	2	S. cerevisiae S288C	0.894	0.9972	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix;mitochondrial outer membrane;mitochondrial nucleoid"	"mass-spec;Gene Ontology"
